"Заголовок";"Плюсы";"Закладки";"Комментарии";"Просмотры";"URL";"Автор";"Дата"
"Разбор задач с конференции Hydra — балансировка нагрузки и in-memory хранилища";"25";"30";"9";"3100";"https://habr.com/ru/company/skbkontur/blog/459958/";"green_hippo";"15.07.2019"
"[Екатеринбург, анонс] Флаттертон — воркшоп про разработку на Flutter";"12";"12";"2";"2100";"https://habr.com/ru/company/skbkontur/blog/458906/";"tenebricosa";"08.07.2019"
"Самый крупный хакатон Контура: упоротая гуля и любовь к окружающей среде";"11";"12";"9";"1800";"https://habr.com/ru/company/skbkontur/blog/456122/";"ylian_demakova";"18.06.2019"
"[Анонс: Екатеринбург, Новосибирск, Ижевск, Казань] Хакатон – Урбатон: делаем сервисы для горожан";"14";"4";"0";"1600";"https://habr.com/ru/company/skbkontur/blog/449298/";"ylian_demakova";"24.04.2019"
"[Ижевск и Пермь, анонс] Тёплая и транзисторная онлайн-трансляция CodeFest X";"4";"3";"0";"434";"https://habr.com/ru/company/skbkontur/blog/445894/";"green_hippo";"29.03.2019"
"Оценка сроков на разработку и тестирование задачи (не нужна)";"65";"189";"186";"41300";"https://habr.com/ru/company/skbkontur/blog/444484/";"Wolonter";"27.03.2019"
"Moira участвует в Google Summer of Code 2019";"19";"11";"0";"2500";"https://habr.com/ru/company/skbkontur/blog/444806/";"green_hippo";"22.03.2019"
"Контур.Кампус: приглашаем в бесплатный студенческий лагерь промышленной разработки под Питером";"12";"7";"0";"2400";"https://habr.com/ru/company/skbkontur/blog/444352/";"ylian_demakova";"19.03.2019"
"[Анонс для Екатеринбурга, Новосибирска, Питера] QAutomation Test Session: Покроем тестами все от Невы до Оби";"11";"4";"6";"1400";"https://habr.com/ru/company/skbkontur/blog/438074/";"ylian_demakova";"30.01.2019"
"Культура обратной связи: как не скатиться до обвинений";"13";"27";"0";"3900";"https://habr.com/ru/company/skbkontur/blog/433628/";"ylian_demakova";"19.12.2018"
"«Календарь тестировщика» за декабрь. Попробуй другой подход";"7";"59";"15";"9200";"https://habr.com/ru/company/skbkontur/blog/433132/";"ylian_demakova";"14.12.2018"
"«Календарь тестировщика» за ноябрь. Разумное парное тестирование";"7";"16";"2";"3300";"https://habr.com/ru/company/skbkontur/blog/431460/";"ylian_demakova";"29.11.2018"
"[Екатеринбург, анонс] java.ural.Meetup @2 — анонс второго Java-митапа + видео докладов с java.ural.Meetup @1";"12";"9";"9";"1500";"https://habr.com/ru/company/skbkontur/blog/352934/";"gnkoshelev";"12.11.2018"
"«Календарь тестировщика» за октябрь. Обратная связь: как это бывает";"8";"23";"0";"2700";"https://habr.com/ru/company/skbkontur/blog/428089/";"ylian_demakova";"29.10.2018"
"«Календарь тестировщика» за сентябрь. Оптимизируй тесты";"6";"29";"2";"5100";"https://habr.com/ru/company/skbkontur/blog/424349/";"ylian_demakova";"26.09.2018"
"Где учатся аналитики?";"11";"32";"0";"6300";"https://habr.com/ru/company/skbkontur/blog/421717/";"ylian_demakova";"08.09.2018"
"«Календарь тестировщика» за август. Прочти книгу";"18";"64";"7";"10200";"https://habr.com/ru/company/skbkontur/blog/421101/";"ylian_demakova";"24.08.2018"
"[Екатеринбург, анонс] UralJS #9 — три доклада про микросервисы, тестирование и логирование ошибок на фронте";"6";"11";"0";"1400";"https://habr.com/ru/company/skbkontur/blog/420671/";"tenebricosa";"21.08.2018"
"Завтра ICFP Contest 2018, ура! (+полезное для участвующих в первый раз)";"9";"1";"6";"1300";"https://habr.com/ru/company/skbkontur/blog/417583/";"green_hippo";"19.07.2018"
"[Екатеринбург, анонс] Алиса в гостях у Контура — хакатон по созданию навыков для голосовых помощников";"17";"21";"23";"4500";"https://habr.com/ru/company/skbkontur/blog/417419/";"green_hippo";"18.07.2018"
"Видео с митапа UralJS #8 — работаем с сырыми данными в браузере и пишем навыки для Алисы";"10";"19";"0";"1700";"https://habr.com/ru/company/skbkontur/blog/417427/";"tenebricosa";"18.07.2018"
"«Календарь тестировщика» за июль. Тестирование аналитики";"12";"27";"5";"4200";"https://habr.com/ru/company/skbkontur/blog/417287/";"ylian_demakova";"17.07.2018"
"Парный постмортем: как победить Ктулху и ещё 2000 человек";"26";"76";"15";"8900";"https://habr.com/ru/company/skbkontur/blog/416607/";"Ollisteka";"10.07.2018"
"[Екатеринбург, анонс] Митап аналитиков — о первых аналитиках и CBAP, о метриках, о госсекторе и видах аналитиков";"5";"7";"0";"1300";"https://habr.com/ru/company/skbkontur/blog/415181/";"matt_kontur";"27.06.2018"
"Кибер–бабка, или как мы хакатонили сутки";"20";"18";"5";"5500";"https://habr.com/ru/company/skbkontur/blog/414817/";"matt_kontur";"22.06.2018"
"«Календарь тестировщика» за июнь. Тестировщик должен поймать баг, прочитать Канера и организовать движуху";"14";"36";"2";"4900";"https://habr.com/ru/company/skbkontur/blog/414451/";"ylian_demakova";"19.06.2018"
"[Анонс] Хабы для соревнования на CodinGame.com в семи городах России";"8";"25";"0";"3000";"https://habr.com/ru/company/skbkontur/blog/413577/";"Tinsane";"09.06.2018"
"Хакнули систему: как мы изменили подбор и адаптацию разработчиков";"17";"38";"49";"7500";"https://habr.com/ru/company/skbkontur/blog/412705/";"ylian_demakova";"31.05.2018"
"«Календарь тестировщика» за май. Нагрузи сервис";"9";"17";"0";"2600";"https://habr.com/ru/company/skbkontur/blog/358234/";"ylian_demakova";"10.05.2018"
"«Календарь тестировщика» за апрель. Метрики на службе у QA";"6";"39";"0";"5000";"https://habr.com/ru/company/skbkontur/blog/353928/";"ylian_demakova";"23.04.2018"
"[Санкт-Петербург, анонс] SpbDotNet #30 — доклады о телеметрии .NET-микросервисов и анализаторах кода ReSharper и Roslyn";"11";"12";"3";"2100";"https://habr.com/ru/company/skbkontur/blog/353708/";"green_hippo";"18.04.2018"
"[Екатеринбург, анонс] UralJS #7 — три доклада о React Native, удобной навигации в SPA и принципах работы с DateTime";"8";"9";"0";"1500";"https://habr.com/ru/company/skbkontur/blog/353548/";"tenebricosa";"17.04.2018"
"О стримах и таблицах в Kafka и Stream Processing, часть 1";"19";"121";"4";"19400";"https://habr.com/ru/company/skbkontur/blog/353204/";"gnkoshelev";"11.04.2018"
"Разбор перформансных задач с JBreak (часть 4)";"32";"41";"23";"5900";"https://habr.com/ru/company/skbkontur/blog/351812/";"gnkoshelev";"28.03.2018"
"Хакатон и гейм-джем в Екатеринбурге";"14";"12";"33";"4600";"https://habr.com/ru/company/skbkontur/blog/351898/";"ylian_demakova";"26.03.2018"
"«Календарь тестировщика» за март. Протестируй безопасность";"7";"90";"4";"11600";"https://habr.com/ru/company/skbkontur/blog/351806/";"ylian_demakova";"23.03.2018"
"Разбор перформансных задач с JBreak (часть 3)";"16";"34";"8";"3300";"https://habr.com/ru/company/skbkontur/blog/351540/";"gnkoshelev";"22.03.2018"
"Разбор перформансных задач с JBreak (часть 2)";"26";"51";"11";"8800";"https://habr.com/ru/company/skbkontur/blog/351300/";"gnkoshelev";"18.03.2018"
"Как мы переняли опыт Khan Academy и сделали свой курс для тестировщиков";"12";"36";"3";"4600";"https://habr.com/ru/company/skbkontur/blog/351178/";"ylian_demakova";"16.03.2018"
"Ускорение сборки JavaScript-кода с использованием webpack 2–3";"17";"131";"5";"10100";"https://habr.com/ru/company/skbkontur/blog/351080/";"ylian_demakova";"14.03.2018"
"Разбор перформансных задач с JBreak (часть 1)";"24";"58";"10";"10800";"https://habr.com/ru/company/skbkontur/blog/350800/";"gnkoshelev";"09.03.2018"
"Kontur Mobile Test Session: 446 багов за 5 часов";"9";"8";"0";"2100";"https://habr.com/ru/company/skbkontur/blog/350484/";"ylian_demakova";"06.03.2018"
"[Екатеринбург, анонс] Новые Java-митапы в Екатеринбурге: java.ural.Meetup @1";"11";"6";"2";"1600";"https://habr.com/ru/company/skbkontur/blog/349766/";"gnkoshelev";"28.02.2018"
"[Екатеринбург, анонс] Botters of the Galaxy CodingHub в офисе Контура";"8";"11";"1";"1800";"https://habr.com/ru/company/skbkontur/blog/349478/";"xoposhiy";"21.02.2018"
"«Календарь тестировщика» за февраль. Узнай своего клиента";"14";"17";"0";"2900";"https://habr.com/ru/company/skbkontur/blog/349274/";"ylian_demakova";"20.02.2018"
"«Календарь тестировщика» за январь. Разбери бэклог";"18";"59";"1";"7500";"https://habr.com/ru/company/skbkontur/blog/349300/";"ylian_demakova";"19.02.2018"
"Как мы перевернули календарь и сделали из него арт-объект";"20";"32";"9";"7600";"https://habr.com/ru/company/skbkontur/blog/348620/";"ylian_demakova";"15.02.2018"
"Видео с митапа UralJS #6 — избавляемся от this, типизируем Redux-приложение и пишем на Реакте без тормозов";"7";"27";"2";"3500";"https://habr.com/ru/company/skbkontur/blog/349042/";"tenebricosa";"14.02.2018"
"Экспресс-оценка сложности алгоритма (+разбор задачи c Joker 2017 и DotNext 2017 Moscow)";"32";"68";"24";"9600";"https://habr.com/ru/company/skbkontur/blog/348870/";"xoposhiy";"12.02.2018"
"Интересные сюрпризы ConcurrentDictionary (+разбор задачи с DotNext 2017 Moscow)";"29";"60";"2";"8600";"https://habr.com/ru/company/skbkontur/blog/348508/";"Diafilm";"08.02.2018"
"Неслучайная случайность, или Атака на ГПСЧ в .NET";"70";"63";"31";"14700";"https://habr.com/ru/company/skbkontur/blog/347758/";"dscheg";"30.01.2018"
"[Екатеринбург, анонс] UralJS #6 — три доклада о типизации, проблемах this и оптимизации React-приложения";"10";"18";"3";"2700";"https://habr.com/ru/company/skbkontur/blog/347502/";"tenebricosa";"26.01.2018"
"Классненькая стажировка";"20";"30";"10";"12500";"https://habr.com/ru/company/skbkontur/blog/347226/";"ylian_demakova";"22.01.2018"
"Как бросить аспирантуру и стать разработчиком";"4";"37";"2";"10400";"https://habr.com/ru/company/skbkontur/blog/345214/";"JasonZiglar";"21.12.2017"
"Как обложить сервис метриками и не облажаться";"28";"100";"8";"13500";"https://habr.com/ru/company/skbkontur/blog/341326/";"ezsilmar";"31.10.2017"
"Как я поехал на летнюю стажировку и остался";"11";"32";"19";"20400";"https://habr.com/ru/company/skbkontur/blog/339812/";"Orenleto";"11.10.2017"
"Как мы отмечали 256 день года и рисовали пиксели через API";"23";"35";"10";"7800";"https://habr.com/ru/company/skbkontur/blog/338716/";"green_hippo";"26.09.2017"
"ICFP Contest 2017 — проверка на прочность для настоящих разработчиков";"21";"32";"4";"6600";"https://habr.com/ru/company/skbkontur/blog/334324/";"xoposhiy";"28.07.2017"
"Сказ о стажировке в маленькой компании или как мы с Контуром конкурировали [Часть I]";"14";"35";"4";"11200";"https://habr.com/ru/company/skbkontur/blog/321614/";"gnkoshelev";"06.03.2017"
"Краткое руководство по выходу в opensource: кому это нужно, для чего и как";"17";"76";"4";"8500";"https://habr.com/ru/company/skbkontur/blog/322844/";"BeeVee";"28.02.2017"
